Room 0: volume=3.2057665280461163, surface=1.124258041381836
Room 1: volume=19.616124125403708, surface=6.810261249542236
Room 2: volume=46.63307068369965, surface=12.616007804870605
Room 3: volume=24.978914206283335, surface=8.714766502380371
Room 4: volume=304.7136006066417, surface=104.56424713134766
Room 5: volume=14.06283793240115, surface=4.903774738311768
Room 6: volume=3.616923180639281, surface=1.3099361658096313
Room 7: volume=8.12701250425293, surface=2.3411242961883545
Room 8: volume=8.599894336680686, surface=2.543707847595215
Room 9: volume=4.363720823618897, surface=1.5113155841827393
Room 10: volume=172.94783879786908, surface=58.24188995361328
Room 11: volume=2.979243704339436, surface=0.994169294834137
Room 12: volume=182.68371336887884, surface=75.35479736328125
Room 13: volume=64.34104653208735, surface=24.007030487060547
Room 14: volume=26.74646374969588, surface=13.505568504333496
Room 15: volume=3.4341469279285555, surface=1.639594554901123
Room 16: volume=8.666577320391003, surface=2.880052328109741
Room 17: volume=3.0781670384192594, surface=1.4358453750610352
Room 18: volume=25.87088450516134, surface=12.860013008117676
Room 19: volume=33.43808807762193, surface=9.857095718383789
Room 20: volume=45.21294304275147, surface=18.81284523010254
Room 21: volume=56.340727387190356, surface=24.458805084228516
